InChIKey,Isomeric_SMILES
OXGUCUVFOIWWQJ-HQBVPOQASA-N,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O
JPUKWEQWGBDDQB-QSOFNFLRSA-N,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O
WMBWREPUVVBILR-WIYYLYMNSA-N,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O
OVSQVDMCBVZWGM-DTGCRPNFSA-N,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)O
GZUITABIAKMVPG-UHFFFAOYSA-N,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O
BHTRKEVKTKCXOH-BJLOMENOSA-N,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C
NTDLXWMIWOECHG-UHFFFAOYSA-N,C1C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)O)O)CO)O)O)O)(CO)O
DKZBBWMURDFHNE-NSCUHMNNSA-N,COC1=C(C=CC(=C1)/C=C/C=O)O
KSEBMYQBYZTDHS-HWKANZROSA-N,COC1=C(C=CC(=C1)/C=C/C(=O)O)O
MBBOMCVGYCRMEA-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)CCO
IVOMOUWHDPKRLL-KQYNXXCUSA-N,C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O
ZTHYODDOHIVTJV-UHFFFAOYSA-N,CCCOC(=O)C1=CC(=C(C(=C1)O)O)O
HYVABZIGRDEKCD-UHFFFAOYSA-N,CC(=CCNC1=NC=NC2=C1NC=N2)C
UZKQTCBAMSWPJD-FARCUNLSSA-N,C/C(=C\CNC1=NC=NC2=C1NC=N2)/CO
OFEZSBMBBKLLBJ-BAJZRUMYSA-N,C1[C@H](O[C@H]([C@@H]1O)N2C=NC3=C(N=CN=C32)N)CO
GHVNFZFCNZKVNT-UHFFFAOYSA-N,CCCCCCCCCC(=O)O
LIIALPBMIOVAHH-UHFFFAOYSA-N,COC1=CC2=C(C=C1)C=CC(=O)O2
HSHNITRMYYLLCV-UHFFFAOYSA-N,CC1=CC(=O)OC2=C1C=CC(=C2)O
QANMHLXAZMSUEX-UHFFFAOYSA-N,C1=COC(=C1)CNC2=NC=NC3=C2NC=N3
SEOVTRFCIGRIMH-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)CC(=O)O
GUAFOGOEJLSQBT-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)C=CC(=O)O2)OC
HOEVRHHMDJKUMZ-UHFFFAOYSA-N,COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC)O
WDKYDMULARNCIS-GQCTYLIASA-N,CCOC(=O)/C=C/C1=CC(=C(C=C1)O)O
AUJXJFHANFIVKH-GQCTYLIASA-N,COC1=C(C=CC(=C1)/C=C/C(=O)OC)O
