gene_name,ingredient_name
HPGDS,Isoleucine
PSMD6,Isoleucine
MASP1,Isoleucine
PRSS12,Isoleucine
ERAP1,Isoleucine
PRSS37,Isoleucine
SEC61A2,Isoleucine
PSMC3,Isoleucine
C2,Isoleucine
TMPRSS5,Isoleucine
DCTN5,Isoleucine
PDIA3,Isoleucine
SLC43A2,Isoleucine
KLK1,Isoleucine
CTRB2,Isoleucine
UBB,Isoleucine
SLC6A19,Isoleucine
PRSS27,Isoleucine
TMPRSS11E,Isoleucine
QARS1,Isoleucine
F2,Isoleucine
PRSS1,Isoleucine
PLG,Isoleucine
KLK6,Isoleucine
PSMD1,Isoleucine
ACO1,Isoleucine
PSMD2,Isoleucine
PSMC5,Isoleucine
PSMA8,Isoleucine
KLK10,Isoleucine
CD84,Isoleucine
POLR2B,Isoleucine
KLK2,Isoleucine
KLK3,Isoleucine
EDNRA,Isoleucine
BCKDHB,Isoleucine
PRSS8,Isoleucine
NPEPPS,Isoleucine
SLC7A8,Isoleucine
CALR,Isoleucine
LPA,Isoleucine
BCAT2,Isoleucine
SLC6A18,Isoleucine
KARS1,Isoleucine
CNDP2,Isoleucine
KLK4,Isoleucine
PRSS50,Isoleucine
OVCH1,Isoleucine
PRSS57,Isoleucine
PSMF1,Isoleucine
C1S,Isoleucine
TMPRSS11B,Isoleucine
CFD,Isoleucine
PRSS55,Isoleucine
TMPRSS11A,Isoleucine
TMPRSS6,Isoleucine
KLK5,Isoleucine
CELA3B,Isoleucine
ACACB,Isoleucine
SEC61G,Isoleucine
IL4I1,Isoleucine
TPSAB1,Isoleucine
CBS,Isoleucine
UBC,Isoleucine
ENOSF1,Isoleucine
RET,Isoleucine
HP,Isoleucine
PSMD12,Isoleucine
TMPRSS11F,Isoleucine
DYNC1H1,Isoleucine
PSMB10,Isoleucine
CELA2A,Isoleucine
HLA-G,Isoleucine
PRSS3,Isoleucine
CTRB1,Isoleucine
STAT1,Isoleucine
PSMB5,Isoleucine
PRSS38,Isoleucine
EPRS1,Isoleucine
TRAF3IP3,Isoleucine
SLAMF6,Isoleucine
ACADSB,Isoleucine
PSMD4,Isoleucine
CTSS,Isoleucine
DBT,Isoleucine
PSMA7,Isoleucine
VEGFA,Isoleucine
POLR3A,Isoleucine
PLAU,Isoleucine
PSMB2,Isoleucine
HMGCL,Isoleucine
PROZ,Isoleucine
F10,Isoleucine
F7,Isoleucine
IARS1,Isoleucine
CELA2B,Isoleucine
CTRC,Isoleucine
TPP2,Isoleucine
HLA-C,Isoleucine
HLA-A,Isoleucine
SLC3A2,Isoleucine
EEF1E1,Isoleucine
PSME1,Isoleucine
HGFAC,Isoleucine
SRY,Isoleucine
HYKK,Isoleucine
KIR3DL1,Isoleucine
KLK8,Isoleucine
KLK7,Isoleucine
DBH,Isoleucine
LARS1,Isoleucine
CFI,Isoleucine
AIMP1,Isoleucine
PTHLH,Isoleucine
